id,name,yearpublished,minplayers,maxplayers,description,average,bayesaverage,playingtime,minage,thumbnail,image
"1,Die Macher,die macher game seven sequential political race different region germany player charge national political party manage limited resource help party victory win party victory point regional election different way score victory point regional election supply eighty victory point depend size region party second party win regional election medium influence region party receive mediacontrol victory point party national party membership grow game progress supply fair number victory point lastly party score victory point party platform match national opinion end gamethe   edition feature party old west germany support   player   edition support player reunite germany update feature rule     edition support player add short fiveround variant additional rule update original designer,1986,4.3206,7.61428,7.10363,1.57979,3,5,14.366666666666667,1.3958333333333333,5,""['4', '5']"",7498,501,2039,761,240,240,240,14,5354,0,2,0,0,0,Classic Line (Valley Games),0,https://cf.geekdo-images.com/rpwCZAjYLD940NWwP3SRoA__original/img/yR0aoBVKNrAmmCuBeSzQnMflLYg=/0x0/filters:format(jpeg)/pic4718279.jpg,316,180,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
2,Dragonmaster,1981,3,4,dragonmaster tricktaking card game base old game call coup dtat player give supply plastic gem represent point player dealer different hand slightly different goal hand card deal dealer decide hand good suit current card player penalize point form crystal take certain trick card instance quotfirstquot quotlastquot call player penalize take trick player chance dealer hand player steal opportunity take trick certain hand end big pile gem win gamejewel content clear   extra green   extra red   extr,,,30,1,,
"3,Samurai,samurai set medieval japan player compete gain favor faction samurai peasant priest represent helmet rice paddy buddha figure scatter board feature island japan competition wage use hexagonal tile help curry favor faction mdash player lightningquick strike horseback ronin ship approach conquest methodically figure helmet rice paddy buddha surround award player gain favor corresponding groupgameplay continue symbol type remove board figure remove play tie influenceat end game player compare capture symbol type compete majority type tie uncommon break base number quotnonmajorityquot symbol player collectedthe game call knizia tilelaye trilogy,1998,2.4859,7.45601,7.23994,1.18227,2,4,9.307692307692308,1.0,3,""['2', '3', '4']"",15578,799,3450,1451,60,30,60,10,15146,0,6,0,1,0,Euro Classics (Reiner Knizia),0,https://cf.geekdo-images.com/o9-sNXmFS_TLAb7ZlZ4dRA__original/img/TPKZgpNxB_C73RNbhKyP6UR76X0=/0x0/filters:format(jpeg)/pic3211873.jpg,224,166,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
4,Tal der K̦nige,1992,2,4,triangular box luxurious large block tal der koumlnige german quotvalley kingsquot tell game design beautiful functional   object game build pyramid different color block   pyramid score point color hard consistently outbid player necessary block   game pharoah pyramid center complete build block player nt use course gamefinal round   hippodice spieleautorenwettbewerb,,,30,1,,
"5,Acquire,acquire player strategically invest business try retain majority stock   business grow tile placement start merge give majority stockholder acquire business sizable bonus reinvest chain   investor acquire company cash stock current value trade share newer large business   game race acquire great wealthhistory acquire sid sackson classic take different form year depend publisher rule game play stay   version m bookshelf edition include rule player variant original version m bookshelf seriesmany book website incorrectly list   publication m company previously copyright artwork release game   m actually receive idea game quotvacationsquot sid sackson   decide idea artwork develop year game call quotacquirequot ms original game idea game call acquire good decide sid idea vacation concept acquire release limited test market game   midwestern city december   box   copyright game sid original rule m release mass market game   take liberty sid original idea change rule game play match production desire release outer box copyright   inner box rule date december    test market world map wood tile edition   date   wood tile chipboard plastic overlay amp stock print back   date   plastic tile chipboard plastic overlay amp stock print back edition print back    date   plastic tile chipboard plastic overlay amp nonwax coat stock edition stock   date   plastic tile clear plastic board paper underlay   inner box game lot mixed part   date   plastic tile yellow hard plastic board   m sell right game acquire avalon hill company   date   plastic tile yellow hard plastic board redesign money inner box edition produce            amp    date   gray box edition new box artwork content regular   edition edition produce    date   large box cardboard edition chipboard board tile special power variant tile inspire german edition   avalon hill sell right game acquire hasbro   date   large box large plastic board tile d company building redesign stock amp money large info card   hasbro assign right game acquire subsidiary wizard coast   lloyd rule acquire public major rule change help bring balance game acquire   intention sid sackson original idea    date   cardboard edition chipboard board amp tile redesign stock amp money   date   current affordable massmarket edition look sight similar previous modern edition criticise use inferior design choice hardtoread greyongrey emboss slot unusual tile font contain modify rule slightly small playing grid change criticise ultimately improve sackson original design generally regard damaging,1964,2.5031,7.33861,7.14189,1.33583,2,6,11.41025641025641,21.152941176470588,4,""['3', '4', '5']"",23735,548,2671,1606,90,90,90,12,18655,0,6,2,0,0,3M Bookshelf,0,https://cf.geekdo-images.com/3C--kJRhi6kTPHsr9dNaWw__original/img/WeRigNSL9w0EP12b2EJfpHoh4M0=/0x0/filters:format(jpeg)/pic3299296.jpg,290,220,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
6,Mare Mediterraneum,1989,2,6,ancient land mediterranean player attempt satisfy unique victory condition trade war construction   lavishly produce game contain ton wooden game component beautiful rollout vinyl map   player produce score different commodity trade city hope create income fill capital building produce artwork fill warehouse good,,,30,1,,
7,Cathedral,1978,2,2,cathedral player set piece different color piece shape building cover square unit player take single neutral cathedral piece place board player alternate place building board player place building player capture territory surround area occupy opponent neutral building capture piece remove capture territory offlimits opponent player few square unit building nt place win,,,30,1,,
8,Lords of Creation,1993,2,5,interesting offering warfrog player god seek dominate world follower   game involve construct game board player turn card determine new people appear type terrain inhabit   tribe start barbarian soon calming effect civilization settle marauding band civilized tribe score long attack   civilize player follower   sure give opponent point follower wo nt come,,,30,1,,
"9,El Caballero,refer sequel el grande el caballero share aspect namesake fun intense brainburner player explore attempt control land waterway new worldthe player follow columbus explore island discover player slowly explore island ndash pick place land tile favorable ndash discover wealth form gold fish learn land sea area new land position caballero try maintain control important region castillo measure protection ship allow establish trade fish food success measure size land sea area control success measure twice end score sum winner declare,1998,3.1824,6.45265,5.9229,1.43335,2,4,11.777777777777779,1.1111111111111112,3,""['2', '3', '4']"",2611,87,311,148,90,90,90,13,1389,0,1,0,0,0,El Grand,0,https://cf.geekdo-images.com/lWotCtplnl0sI3bS_jF3-Q__original/img/lpPExjqfY9fpRvaqnlhVkhKPoqU=/0x0/filters:format(jpeg)/pic1731731.jpg,2948,1297,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
"10,Elfenland,elfenland redesign original white wind game elfenroad   game set mythical world elf   group fledgling elve player charge visit elfencitie course   round   accomplish task use form transportation giant pig elfcart unicorn raft magic cloud trollwagon dragonsgameplay   player begin elf capitol draw face movement tile deal transport card secret home city card reach end th round lose point city space away home end game marker player color place city board collect player visit city count   point        round proceed   stage   round consist drawing tile show differ type transport raft combination face face tile player nt like   tile face draw blind face tile hope need   transport tile need match transportation card hand use effectively   player total   tile turn place tile road run elf city   transport tile place road player use player tile travel matching card hand   frequently cause readjustment plan travel route player tile allow far short think   player play tile help hinder play slow mode transport player perceive patheach mode transport certain terrain travel quickly slowly list transportation card number terrain symbol   number terrain symbol equal matching card play give tile give terrain   example magic cloud tile place mountain magic cloud card travel   mountain symbol card mean magic cloud fast mountain tile place road forest terrain require   magic cloud card travel route   forest symbol card mean magic cloud slow forest   magic cloud travel desert terrain desert symbol card mode transport different raft river lake need tile raft slow upstream   raft card need fast downstream   card need   small lake require   raft card travel large lake require   card travel   player unused transport counter   transportation card round nextthe second round begin player finish place transportation tile round   player play card move elfboot board collect token city visit   transport tile route player match transportation card caravan play   transportation card handas bit player trouble tile place transportation tile round   counter mean order travel path additional card transport type play   card caravanvictory end round   player visit   city winner   game end round   home city reveal player subtract point city away home subtract collect city token   person high score win,1998,2.1578,6.69695,6.47733,1.25365,2,6,8.194444444444445,26.0,4,""['3', '4', '5', '6']"",10115,179,759,697,60,60,60,10,8324,0,1,6,3,1,Elfenroads,0,https://cf.geekdo-images.com/Ea4jN5Ko5bPrXrU_AYhhzg__original/img/DEi0SFU6mAMZYycGTEJAV4ZBRVw=/0x0/filters:format(jpeg)/pic1798136.jpg,1117,21926,21926,308,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0",,0,0,0,,,,30,1,,
